rental_id,asset_id,site_id,operator_id,check_out_date,expected_return_date,actual_return_date,rental_days,synthetic_daily_rate,rental_status
RNT00045,EQX0049,SITE008,OP060,2025-11-26,2026-01-25,,60,419.59,ACTIVE
RNT00046,EQX0090,SITE004,OP037,2026-01-28,2026-02-04,,7,1267.14,ACTIVE
RNT00047,EQX0053,SITE001,OP021,2026-04-30,2026-06-14,,45,1340.06,ACTIVE
RNT00048,EQX0049,SITE007,OP043,2025-06-05,2025-06-26,,21,1405.33,ACTIVE
RNT00049,EQX0017,SITE009,OP038,2025-12-06,2026-02-04,,60,307.46,ACTIVE
RNT00050,EQX0109,SITE008,OP007,2026-06-23,2026-07-14,,21,199.49,ACTIVE
RNT00051,EQX0019,SITE007,OP056,2025-06-08,2025-06-11,,3,776.25,ACTIVE
RNT00052,EQX0034,SITE006,OP040,2026-02-12,2026-03-29,,45,282.0,ACTIVE
RNT00053,EQX0043,SITE014,OP044,2026-07-01,2026-07-22,,21,1391.76,ACTIVE
RNT00054,EQX0081,SITE012,OP057,2026-05-15,2026-07-14,,60,867.09,ACTIVE
RNT00055,EQX0080,SITE002,OP016,2025-10-22,2025-10-29,,7,1128.39,ACTIVE
RNT00056,EQX0056,SITE002,OP049,2025-04-13,2025-05-04,,21,391.28,ACTIVE
RNT00057,EQX0039,SITE015,OP002,2025-02-17,2025-03-03,,14,1191.1,ACTIVE
RNT00058,EQX0038,SITE006,OP024,2026-03-18,2026-03-25,,7,490.13,ACTIVE
RNT00059,EQX0053,SITE010,OP044,2025-07-04,2025-07-11,,7,402.34,ACTIVE
RNT00060,EQX0079,SITE014,OP025,2025-09-04,2025-09-25,,21,1339.29,ACTIVE
RNT00061,EQX0019,SITE004,OP030,2025-09-18,2025-10-09,,21,504.26,ACTIVE
RNT00062,EQX0002,SITE015,OP052,2026-04-22,2026-05-06,,14,1040.57,ACTIVE
RNT00063,EQX0021,SITE002,OP029,2025-12-20,2026-01-19,,30,559.93,ACTIVE
RNT00064,EQX0055,SITE012,OP017,2026-04-13,2026-06-12,,60,563.69,ACTIVE
RNT00065,EQX0050,SITE014,OP031,2025-04-20,2025-04-27,,7,664.33,ACTIVE
RNT00066,EQX0046,SITE010,OP019,2025-10-30,2025-11-02,,3,1421.99,ACTIVE
RNT00067,EQX0085,SITE007,OP018,2025-01-09,2025-02-08,,30,1278.64,ACTIVE
RNT00068,EQX0100,SITE012,OP004,2026-05-24,2026-07-23,,60,1328.28,ACTIVE
RNT00069,EQX0037,SITE013,OP052,2025-08-24,2025-09-23,,30,1198.45,ACTIVE
RNT00070,EQX0029,SITE011,OP013,2025-09-14,2025-10-29,,45,1139.58,ACTIVE
RNT00071,EQX0099,SITE011,OP044,2025-05-21,2025-07-05,,45,303.4,ACTIVE
RNT00072,EQX0081,SITE011,OP003,2025-11-13,2026-01-12,,60,739.85,ACTIVE
RNT00073,EQX0075,SITE006,OP047,2025-05-15,2025-05-18,,3,1335.23,ACTIVE
RNT00074,EQX0042,SITE012,OP027,2025-06-29,2025-07-06,,7,347.84,ACTIVE
RNT00075,EQX0070,SITE015,OP024,2026-06-28,2026-07-28,,30,1340.13,ACTIVE
RNT00076,EQX0107,SITE003,OP017,2026-05-09,2026-07-08,,60,554.83,ACTIVE
RNT00077,EQX0112,SITE006,OP052,2025-04-28,2025-05-19,,21,1402.87,ACTIVE
RNT00078,EQX0019,SITE013,OP015,2026-02-11,2026-04-12,,60,1201.83,ACTIVE
RNT00079,EQX0047,SITE002,OP051,2026-02-09,2026-02-12,,3,515.86,ACTIVE
RNT00080,EQX0016,SITE008,OP024,2025-09-26,2025-10-26,,30,663.9,ACTIVE
RNT00081,EQX0082,SITE006,OP007,2025-08-28,2025-09-18,2025-09-15,21,966.82,COMPLETED
RNT00082,EQX0072,SITE006,OP059,2025-08-15,2025-09-29,2025-09-27,45,986.96,COMPLETED
RNT00083,EQX0060,SITE015,OP045,2025-11-06,2025-12-21,2025-12-24,45,328.18,OVERDUE_RETURN
RNT00084,EQX0006,SITE001,OP020,2026-05-20,2026-05-23,2026-05-21,3,478.2,COMPLETED
RNT00085,EQX0069,SITE003,OP025,2026-04-10,2026-04-24,2026-04-29,14,712.29,OVERDUE_RETURN
RNT00086,EQX0096,SITE012,OP010,2026-03-01,2026-04-15,2026-04-13,45,1238.79,COMPLETED
RNT00087,EQX0079,SITE007,OP018,2025-02-03,2025-03-20,2025-03-22,45,455.93,OVERDUE_RETURN
RNT00088,EQX0057,SITE004,OP055,2026-01-07,2026-01-10,2026-01-12,3,871.47,OVERDUE_RETURN
RNT00089,EQX0083,SITE006,OP004,2026-02-12,2026-02-26,2026-02-26,14,1409.62,COMPLETED
RNT00090,EQX0109,SITE014,OP030,2025-04-04,2025-05-19,2025-05-19,45,994.96,COMPLETED
RNT00091,EQX0077,SITE001,OP004,2025-12-08,2025-12-15,2025-12-14,7,1179.46,COMPLETED
RNT00092,EQX0027,SITE002,OP054,2026-07-22,2026-07-29,2026-07-29,7,1212.58,COMPLETED
RNT00093,EQX0030,SITE006,OP050,2025-06-01,2025-07-31,2025-07-28,60,532.14,COMPLETED
RNT00094,EQX0019,SITE003,OP035,2025-09-14,2025-11-13,2025-11-12,60,319.61,COMPLETED
RNT00095,EQX0111,SITE001,OP009,2025-01-16,2025-01-30,2025-01-30,14,927.84,COMPLETED
RNT00096,EQX0003,SITE003,OP017,2025-02-23,2025-03-02,2025-03-05,7,848.13,OVERDUE_RETURN
RNT00097,EQX0096,SITE002,OP031,2026-04-05,2026-06-04,2026-06-06,60,831.81,OVERDUE_RETURN
RNT00098,EQX0014,SITE008,OP033,2025-08-15,2025-09-14,2025-09-11,30,1103.6,COMPLETED
RNT00099,EQX0117,SITE014,OP043,2026-06-18,2026-07-02,2026-07-06,14,997.04,OVERDUE_RETURN
RNT00100,EQX0004,SITE001,OP031,2026-02-16,2026-03-09,2026-03-07,21,802.64,COMPLETED
RNT00101,EQX0117,SITE008,OP005,2025-03-24,2025-04-07,2025-04-06,14,263.42,COMPLETED
RNT00102,EQX0036,SITE010,OP041,2026-07-16,2026-08-30,2026-09-01,45,663.75,OVERDUE_RETURN
RNT00103,EQX0077,SITE009,OP019,2026-04-10,2026-05-10,2026-05-13,30,305.96,OVERDUE_RETURN
RNT00104,EQX0090,SITE002,OP055,2026-07-19,2026-09-02,2026-09-02,45,726.19,COMPLETED
RNT00105,EQX0114,SITE004,OP027,2025-12-14,2026-02-12,2026-02-16,60,686.39,OVERDUE_RETURN
RNT00106,EQX0094,SITE002,OP021,2026-03-14,2026-03-28,2026-03-29,14,655.36,OVERDUE_RETURN
RNT00107,EQX0020,SITE011,OP060,2026-05-01,2026-05-04,2026-05-02,3,1236.35,COMPLETED
RNT00108,EQX0012,SITE007,OP007,2026-01-17,2026-03-18,2026-03-17,60,886.59,COMPLETED
RNT00109,EQX0076,SITE009,OP036,2025-12-04,2026-01-18,2026-01-16,45,701.73,COMPLETED
RNT00110,EQX0112,SITE011,OP049,2026-03-10,2026-05-09,2026-05-06,60,1409.87,COMPLETED
RNT00111,EQX0077,SITE005,OP023,2025-04-17,2025-05-17,2025-05-22,30,450.18,OVERDUE_RETURN
RNT00112,EQX0085,SITE008,OP015,2025-04-21,2025-05-05,2025-05-10,14,646.8,OVERDUE_RETURN
RNT00113,EQX0098,SITE005,OP037,2025-08-20,2025-10-19,2025-10-22,60,1253.35,OVERDUE_RETURN
RNT00114,EQX0099,SITE014,OP040,2026-07-25,2026-07-28,2026-07-29,3,216.77,OVERDUE_RETURN
RNT00115,EQX0035,SITE012,OP049,2025-11-13,2025-11-27,2025-11-29,14,187.75,OVERDUE_RETURN
RNT00116,EQX0112,SITE003,OP037,2026-02-15,2026-02-18,2026-02-17,3,1121.03,COMPLETED
RNT00117,EQX0004,SITE002,OP048,2026-06-28,2026-07-05,2026-07-08,7,713.19,OVERDUE_RETURN
RNT00118,EQX0044,SITE003,OP024,2025-11-16,2025-12-31,2026-01-02,45,1166.58,OVERDUE_RETURN
RNT00119,EQX0073,SITE010,OP006,2025-02-23,2025-03-02,2025-03-01,7,1138.13,COMPLETED
RNT00120,EQX0007,SITE011,OP006,2025-10-06,2025-10-27,2025-10-30,21,796.79,OVERDUE_RETURN
RNT00121,EQX0057,SITE007,OP018,2025-08-09,2025-10-08,2025-10-13,60,324.55,OVERDUE_RETURN
RNT00122,EQX0056,SITE002,OP019,2026-05-14,2026-06-13,2026-06-14,30,237.68,OVERDUE_RETURN
RNT00123,EQX0051,SITE010,OP004,2025-01-08,2025-01-15,2025-01-16,7,1380.56,OVERDUE_RETURN
RNT00124,EQX0099,SITE003,OP049,2025-09-19,2025-10-03,2025-10-05,14,332.38,OVERDUE_RETURN
RNT00125,EQX0064,SITE012,OP028,2025-06-29,2025-07-06,2025-07-09,7,856.38,OVERDUE_RETURN
RNT00126,EQX0030,SITE009,OP036,2025-12-29,2026-01-01,2026-01-04,3,1274.44,OVERDUE_RETURN
RNT00127,EQX0006,SITE007,OP002,2026-04-16,2026-04-19,2026-04-21,3,911.21,OVERDUE_RETURN
RNT00128,EQX0074,SITE007,OP046,2026-03-04,2026-03-18,2026-03-16,14,694.39,COMPLETED
RNT00129,EQX0042,SITE003,OP052,2026-04-17,2026-06-16,2026-06-18,60,291.92,OVERDUE_RETURN
RNT00130,EQX0109,SITE002,OP016,2026-03-23,2026-04-22,2026-04-25,30,845.43,OVERDUE_RETURN
RNT00131,EQX0051,SITE014,OP020,2025-12-14,2025-12-21,2025-12-23,7,1169.48,OVERDUE_RETURN
RNT00132,EQX0010,SITE009,OP041,2025-04-27,2025-05-27,2025-06-01,30,426.26,OVERDUE_RETURN
RNT00133,EQX0100,SITE006,OP023,2025-06-01,2025-06-08,2025-06-06,7,365.98,COMPLETED
RNT00134,EQX0026,SITE003,OP039,2025-06-06,2025-08-05,2025-08-03,60,404.98,COMPLETED
RNT00135,EQX0099,SITE011,OP032,2026-04-21,2026-06-20,2026-06-24,60,1045.04,OVERDUE_RETURN
RNT00136,EQX0113,SITE010,OP042,2025-11-27,2026-01-26,2026-01-28,60,371.72,OVERDUE_RETURN
RNT00137,EQX0009,SITE008,OP029,2025-11-07,2026-01-06,2026-01-07,60,931.1,OVERDUE_RETURN
RNT00138,EQX0046,SITE009,OP005,2025-11-14,2025-12-05,2025-12-09,21,227.76,OVERDUE_RETURN
RNT00139,EQX0048,SITE014,OP019,2025-03-20,2025-05-04,2025-05-02,45,961.06,COMPLETED
RNT00140,EQX0065,SITE007,OP030,2026-07-22,2026-09-20,2026-09-17,60,751.16,COMPLETED
RNT00141,EQX0104,SITE010,OP042,2025-07-12,2025-07-26,2025-07-30,14,816.74,OVERDUE_RETURN
RNT00142,EQX0008,SITE008,OP007,2025-12-18,2026-02-01,2026-01-30,45,820.78,COMPLETED
RNT00143,EQX0023,SITE001,OP016,2026-03-25,2026-04-15,2026-04-20,21,843.89,OVERDUE_RETURN
RNT00144,EQX0021,SITE006,OP024,2025-10-17,2025-11-07,2025-11-10,21,1163.57,OVERDUE_RETURN
RNT00145,EQX0087,SITE010,OP004,2025-12-09,2025-12-12,2025-12-14,3,300.02,OVERDUE_RETURN
RNT00146,EQX0087,SITE007,OP019,2025-09-16,2025-10-31,2025-10-30,45,603.37,COMPLETED
RNT00147,EQX0075,SITE011,OP010,2025-12-25,2026-01-08,2026-01-11,14,343.77,OVERDUE_RETURN
RNT00148,EQX0091,SITE002,OP020,2026-01-21,2026-03-07,2026-03-09,45,1212.74,OVERDUE_RETURN
RNT00149,EQX0086,SITE012,OP054,2026-06-24,2026-06-27,2026-06-30,3,825.78,OVERDUE_RETURN
RNT00150,EQX0003,SITE006,OP020,2025-07-04,2025-07-11,2025-07-13,7,1383.54,OVERDUE_RETURN
RNT00151,EQX0063,SITE004,OP015,2025-05-21,2025-05-28,2025-05-26,7,555.66,COMPLETED
RNT00152,EQX0101,SITE002,OP033,2026-07-07,2026-09-05,2026-09-10,60,227.94,OVERDUE_RETURN
RNT00153,EQX0044,SITE015,OP050,2025-05-15,2025-06-14,2025-06-17,30,375.9,OVERDUE_RETURN
RNT00154,EQX0024,SITE014,OP045,2025-06-19,2025-08-03,2025-08-07,45,235.49,OVERDUE_RETURN
RNT00155,EQX0047,SITE011,OP047,2025-09-01,2025-09-22,2025-09-23,21,1135.54,OVERDUE_RETURN
RNT00156,EQX0101,SITE008,OP015,2026-07-01,2026-07-08,2026-07-09,7,1406.31,OVERDUE_RETURN
RNT00157,EQX0101,SITE008,OP058,2025-07-18,2025-08-01,2025-08-05,14,766.33,OVERDUE_RETURN
RNT00158,EQX0037,SITE013,OP025,2026-05-30,2026-06-29,2026-07-02,30,1407.16,OVERDUE_RETURN
RNT00159,EQX0105,SITE004,OP052,2025-05-22,2025-07-21,2025-07-22,60,246.27,OVERDUE_RETURN
RNT00160,EQX0062,SITE014,OP024,2026-07-22,2026-07-25,2026-07-30,3,1260.98,OVERDUE_RETURN
RNT00161,EQX0037,SITE002,OP049,2025-06-14,2025-06-28,2025-07-02,14,1329.74,OVERDUE_RETURN
RNT00162,EQX0019,SITE014,OP028,2025-04-04,2025-04-11,2025-04-15,7,1303.48,OVERDUE_RETURN
RNT00163,EQX0120,SITE001,OP027,2025-02-24,2025-03-17,2025-03-22,21,654.93,OVERDUE_RETURN
RNT00164,EQX0050,SITE002,OP024,2025-08-18,2025-08-21,2025-08-23,3,1362.15,OVERDUE_RETURN
RNT00165,EQX0108,SITE012,OP042,2025-12-10,2026-02-08,2026-02-07,60,354.75,COMPLETED
RNT00166,EQX0037,SITE015,OP054,2026-04-29,2026-06-13,2026-06-12,45,1143.73,COMPLETED
RNT00167,EQX0061,SITE008,OP040,2025-01-06,2025-01-09,2025-01-06,3,505.02,COMPLETED
RNT00168,EQX0107,SITE003,OP036,2026-06-25,2026-07-16,2026-07-14,21,1165.74,COMPLETED
RNT00169,EQX0031,SITE005,OP008,2025-02-18,2025-02-25,2025-02-28,7,991.47,OVERDUE_RETURN
RNT00170,EQX0080,SITE008,OP005,2025-04-24,2025-06-23,2025-06-27,60,937.86,OVERDUE_RETURN
RNT00171,EQX0003,SITE011,OP033,2025-09-05,2025-10-20,2025-10-19,45,549.92,COMPLETED
RNT00172,EQX0001,SITE010,OP023,2025-09-04,2025-10-04,2025-10-07,30,417.89,OVERDUE_RETURN
RNT00173,EQX0086,SITE002,OP034,2026-01-05,2026-01-08,2026-01-13,3,870.98,OVERDUE_RETURN
RNT00174,EQX0101,SITE009,OP036,2025-01-21,2025-02-11,2025-02-15,21,235.29,OVERDUE_RETURN
RNT00175,EQX0050,SITE006,OP017,2025-01-17,2025-01-31,2025-01-29,14,617.9,COMPLETED
RNT00176,EQX0094,SITE011,OP041,2025-04-17,2025-06-16,2025-06-18,60,349.43,OVERDUE_RETURN
RNT00177,EQX0046,SITE009,OP022,2025-06-29,2025-08-28,2025-09-01,60,1425.64,OVERDUE_RETURN
RNT00178,EQX0062,SITE011,OP012,2025-05-19,2025-05-22,2025-05-26,3,226.97,OVERDUE_RETURN
RNT00179,EQX0026,SITE001,OP051,2025-07-24,2025-07-27,2025-07-29,3,1365.38,OVERDUE_RETURN
RNT00180,EQX0066,SITE007,OP053,2026-07-11,2026-08-01,2026-08-02,21,226.51,OVERDUE_RETURN
RNT00181,EQX0083,SITE004,OP019,2026-01-01,2026-03-02,2026-02-27,60,1279.56,COMPLETED
RNT00182,EQX0043,SITE005,OP008,2026-01-12,2026-02-02,2026-02-05,21,1124.0,OVERDUE_RETURN
RNT00183,EQX0115,SITE007,OP022,2025-07-11,2025-08-01,2025-08-05,21,646.53,OVERDUE_RETURN
RNT00184,EQX0103,SITE009,OP018,2025-03-26,2025-05-10,2025-05-13,45,280.24,OVERDUE_RETURN
RNT00185,EQX0078,SITE014,OP012,2026-07-13,2026-07-27,2026-07-29,14,310.3,OVERDUE_RETURN
RNT00186,EQX0042,SITE011,OP019,2025-11-10,2025-12-01,2025-12-04,21,391.64,OVERDUE_RETURN
RNT00187,EQX0057,SITE006,OP029,2025-02-13,2025-03-30,2025-04-01,45,960.86,OVERDUE_RETURN
RNT00188,EQX0056,SITE005,OP041,2025-02-28,2025-03-03,2025-03-06,3,641.41,OVERDUE_RETURN
RNT00189,EQX0103,SITE012,OP044,2025-06-13,2025-06-16,2025-06-15,3,1257.81,COMPLETED
RNT00190,EQX0087,SITE013,OP029,2025-02-05,2025-02-12,2025-02-10,7,479.71,COMPLETED
RNT00191,EQX0083,SITE006,OP024,2026-01-28,2026-02-27,2026-02-24,30,948.47,COMPLETED
RNT00192,EQX0087,SITE008,OP024,2026-01-16,2026-02-06,2026-02-04,21,908.88,COMPLETED
RNT00193,EQX0068,SITE006,OP026,2025-11-18,2026-01-02,2026-01-03,45,497.01,OVERDUE_RETURN
RNT00194,EQX0015,SITE001,OP048,2025-07-10,2025-07-31,2025-08-05,21,671.47,OVERDUE_RETURN
RNT00195,EQX0072,SITE002,OP017,2025-09-24,2025-11-08,2025-11-12,45,452.5,OVERDUE_RETURN
RNT00196,EQX0079,SITE005,OP045,2026-05-18,2026-05-25,2026-05-23,7,352.38,COMPLETED
RNT00197,EQX0010,SITE008,OP012,2026-04-01,2026-04-04,2026-04-06,3,1028.16,OVERDUE_RETURN
RNT00198,EQX0091,SITE002,OP036,2026-07-10,2026-07-24,2026-07-25,14,1261.23,OVERDUE_RETURN
RNT00199,EQX0092,SITE012,OP060,2025-06-28,2025-08-27,2025-08-29,60,826.12,OVERDUE_RETURN
RNT00200,EQX0016,SITE004,OP051,2025-05-23,2025-05-30,2025-06-03,7,213.38,OVERDUE_RETURN
RNT00201,EQX0071,SITE010,OP024,2026-04-24,2026-06-23,2026-06-28,60,344.81,OVERDUE_RETURN
RNT00202,EQX0114,SITE002,OP005,2025-11-13,2025-12-04,2025-12-08,21,847.63,OVERDUE_RETURN
RNT00203,EQX0099,SITE007,OP053,2025-03-17,2025-03-24,2025-03-26,7,995.77,OVERDUE_RETURN
RNT00204,EQX0058,SITE008,OP044,2026-06-14,2026-06-28,2026-06-27,14,1295.01,COMPLETED
RNT00205,EQX0100,SITE009,OP041,2025-07-06,2025-09-04,2025-09-03,60,729.43,COMPLETED
RNT00206,EQX0117,SITE014,OP004,2025-05-08,2025-06-07,2025-06-06,30,566.24,COMPLETED
RNT00207,EQX0021,SITE006,OP060,2025-08-19,2025-09-02,2025-09-07,14,1316.56,OVERDUE_RETURN
RNT00208,EQX0109,SITE002,OP017,2025-07-21,2025-09-04,2025-09-09,45,528.55,OVERDUE_RETURN
RNT00209,EQX0081,SITE005,OP040,2026-07-01,2026-07-04,2026-07-09,3,994.05,OVERDUE_RETURN
RNT00210,EQX0076,SITE010,OP010,2025-06-25,2025-08-09,2025-08-11,45,1250.01,OVERDUE_RETURN
RNT00211,EQX0073,SITE001,OP053,2025-01-30,2025-02-02,2025-01-30,3,1384.65,COMPLETED
RNT00212,EQX0099,SITE010,OP017,2025-08-04,2025-10-03,2025-10-06,60,965.0,OVERDUE_RETURN
RNT00213,EQX0004,SITE008,OP057,2026-07-13,2026-07-27,2026-07-28,14,793.34,OVERDUE_RETURN
RNT00214,EQX0104,SITE013,OP044,2026-02-20,2026-03-06,2026-03-10,14,272.68,OVERDUE_RETURN
RNT00215,EQX0008,SITE003,OP029,2026-03-02,2026-03-23,2026-03-27,21,439.11,OVERDUE_RETURN
RNT00216,EQX0078,SITE003,OP021,2025-11-23,2026-01-07,2026-01-09,45,1418.73,OVERDUE_RETURN
RNT00217,EQX0017,SITE013,OP024,2026-06-12,2026-07-12,2026-07-10,30,585.28,COMPLETED
RNT00218,EQX0060,SITE002,OP018,2026-04-06,2026-04-13,2026-04-12,7,302.95,COMPLETED
RNT00219,EQX0038,SITE007,OP056,2026-03-05,2026-03-12,2026-03-11,7,1213.12,COMPLETED
RNT00220,EQX0120,SITE010,OP047,2025-11-17,2025-11-24,2025-11-23,7,812.8,COMPLETED
RNT00221,EQX0066,SITE008,OP032,2025-11-12,2025-12-03,2025-11-30,21,294.36,COMPLETED
RNT00222,EQX0051,SITE009,OP030,2025-09-04,2025-09-11,2025-09-13,7,241.8,OVERDUE_RETURN
RNT00223,EQX0037,SITE008,OP039,2026-04-27,2026-05-11,2026-05-16,14,190.39,OVERDUE_RETURN
RNT00224,EQX0014,SITE007,OP009,2025-09-28,2025-11-12,2025-11-14,45,1150.1,OVERDUE_RETURN
RNT00225,EQX0047,SITE001,OP026,2025-02-22,2025-03-24,2025-03-29,30,427.21,OVERDUE_RETURN
RNT00226,EQX0071,SITE005,OP005,2026-01-31,2026-03-02,2026-03-06,30,1150.79,OVERDUE_RETURN
RNT00227,EQX0036,SITE014,OP040,2025-05-02,2025-05-09,2025-05-07,7,680.26,COMPLETED
RNT00228,EQX0102,SITE006,OP036,2026-01-10,2026-03-11,2026-03-10,60,432.8,COMPLETED
RNT00229,EQX0066,SITE007,OP033,2025-02-11,2025-02-14,2025-02-11,3,354.04,COMPLETED
RNT00230,EQX0043,SITE013,OP031,2026-06-16,2026-07-07,2026-07-06,21,949.95,COMPLETED
RNT00231,EQX0066,SITE003,OP021,2025-11-23,2025-11-30,2025-12-03,7,1438.08,OVERDUE_RETURN
RNT00232,EQX0095,SITE014,OP020,2025-12-11,2026-01-10,2026-01-15,30,856.07,OVERDUE_RETURN
RNT00233,EQX0091,SITE010,OP020,2026-05-02,2026-07-01,2026-06-28,60,647.81,COMPLETED
RNT00234,EQX0087,SITE002,OP027,2025-11-12,2026-01-11,2026-01-08,60,938.08,COMPLETED
RNT00235,EQX0034,SITE011,OP051,2025-08-22,2025-10-06,2025-10-03,45,921.07,COMPLETED
RNT00236,EQX0022,SITE009,OP041,2026-01-25,2026-02-01,2026-02-01,7,220.09,COMPLETED
RNT00237,EQX0090,SITE002,OP013,2025-01-20,2025-02-10,2025-02-12,21,711.85,OVERDUE_RETURN
RNT00238,EQX0053,SITE012,OP014,2026-02-25,2026-03-27,2026-03-31,30,1288.48,OVERDUE_RETURN
RNT00239,EQX0095,SITE012,OP004,2025-05-22,2025-06-21,2025-06-21,30,892.33,COMPLETED
RNT00240,EQX0085,SITE008,OP034,2026-01-21,2026-02-04,2026-02-03,14,763.77,COMPLETED
RNT00241,EQX0069,SITE006,OP035,2025-12-29,2026-02-12,2026-02-13,45,954.8,OVERDUE_RETURN
RNT00242,EQX0025,SITE004,OP018,2025-11-02,2025-11-09,2025-11-10,7,1159.39,OVERDUE_RETURN
RNT00243,EQX0091,SITE004,OP045,2026-05-16,2026-05-30,2026-06-03,14,622.98,OVERDUE_RETURN
RNT00244,EQX0120,SITE015,OP051,2025-10-08,2025-10-22,2025-10-20,14,908.32,COMPLETED
RNT00245,EQX0070,SITE007,OP058,2026-02-09,2026-04-10,2026-04-12,60,1392.35,OVERDUE_RETURN
RNT00246,EQX0103,SITE003,OP019,2025-02-13,2025-02-27,2025-02-25,14,619.88,COMPLETED
RNT00247,EQX0057,SITE011,OP017,2026-05-06,2026-05-13,2026-05-13,7,1231.5,COMPLETED
RNT00248,EQX0035,SITE015,OP036,2025-10-06,2025-10-13,2025-10-11,7,961.91,COMPLETED
RNT00249,EQX0076,SITE004,OP016,2025-02-21,2025-04-07,2025-04-12,45,466.6,OVERDUE_RETURN
