maintenance_id,asset_id,timestamp,maintenance_type,engine_hours,fault_code,downtime_hours,severity
MNT00024,EQX0104,2025-06-14T00:00:00,PREVENTIVE,2380.9,TEMP_HIGH,20.0,HIGH
MNT00025,EQX0078,2025-02-02T00:00:00,PREVENTIVE,7324.2,OIL_PRESSURE,14.8,HIGH
MNT00026,EQX0077,2026-07-14T00:00:00,PREVENTIVE,1356.2,OIL_PRESSURE,27.8,LOW
MNT00027,EQX0078,2025-01-31T00:00:00,REPAIR,368.2,TEMP_HIGH,6.9,MEDIUM
MNT00028,EQX0015,2025-08-11T00:00:00,PREVENTIVE,2591.0,TEMP_HIGH,3.0,HIGH
MNT00029,EQX0017,2025-10-02T00:00:00,INSPECTION,3715.5,NONE,10.8,HIGH
MNT00030,EQX0084,2025-10-29T00:00:00,INSPECTION,5639.9,BATTERY_LOW,13.4,MEDIUM
MNT00031,EQX0119,2025-07-17T00:00:00,INSPECTION,1462.6,OIL_PRESSURE,28.9,LOW
MNT00032,EQX0075,2025-11-16T00:00:00,PREVENTIVE,5996.9,BATTERY_LOW,13.3,MEDIUM
MNT00033,EQX0055,2025-10-06T00:00:00,INSPECTION,4747.3,BATTERY_LOW,13.2,HIGH
MNT00034,EQX0046,2026-01-18T00:00:00,REPAIR,6181.2,BATTERY_LOW,5.4,LOW
MNT00035,EQX0066,2025-09-17T00:00:00,REPAIR,3191.6,OIL_PRESSURE,12.3,LOW
MNT00036,EQX0024,2025-11-27T00:00:00,INSPECTION,5973.5,OIL_PRESSURE,7.7,LOW
MNT00037,EQX0085,2026-01-16T00:00:00,INSPECTION,1258.8,OIL_PRESSURE,4.1,MEDIUM
MNT00038,EQX0089,2025-01-12T00:00:00,REPAIR,2600.7,BATTERY_LOW,17.2,MEDIUM
MNT00039,EQX0116,2025-08-27T00:00:00,REPAIR,683.5,OIL_PRESSURE,18.3,HIGH
MNT00040,EQX0028,2025-04-16T00:00:00,REPAIR,2229.8,NONE,17.4,HIGH
MNT00041,EQX0054,2026-03-22T00:00:00,INSPECTION,6137.8,TEMP_HIGH,6.3,MEDIUM
MNT00042,EQX0064,2025-02-17T00:00:00,INSPECTION,3275.0,NONE,13.9,HIGH
MNT00043,EQX0042,2026-01-28T00:00:00,PREVENTIVE,4407.8,OIL_PRESSURE,1.0,HIGH
MNT00044,EQX0001,2026-04-18T00:00:00,INSPECTION,1156.7,BATTERY_LOW,1.6,HIGH
MNT00045,EQX0118,2026-06-25T00:00:00,PREVENTIVE,2662.9,NONE,2.5,LOW
MNT00046,EQX0107,2026-03-02T00:00:00,REPAIR,2397.3,OIL_PRESSURE,22.7,MEDIUM
MNT00047,EQX0011,2026-07-24T00:00:00,INSPECTION,3804.9,NONE,12.1,HIGH
MNT00048,EQX0059,2026-05-21T00:00:00,REPAIR,7260.2,NONE,25.4,HIGH
MNT00049,EQX0014,2025-01-30T00:00:00,PREVENTIVE,549.2,NONE,4.6,MEDIUM
MNT00050,EQX0111,2026-03-23T00:00:00,PREVENTIVE,1442.4,TEMP_HIGH,21.9,MEDIUM
MNT00051,EQX0105,2026-07-05T00:00:00,PREVENTIVE,7019.0,NONE,8.2,LOW
MNT00052,EQX0015,2025-02-19T00:00:00,INSPECTION,747.8,OIL_PRESSURE,20.8,MEDIUM
MNT00053,EQX0035,2025-06-24T00:00:00,PREVENTIVE,4459.2,NONE,4.2,LOW
MNT00054,EQX0097,2026-02-28T00:00:00,REPAIR,3461.5,NONE,15.9,LOW
MNT00055,EQX0074,2026-05-05T00:00:00,REPAIR,3777.8,OIL_PRESSURE,10.0,HIGH
MNT00056,EQX0062,2025-08-20T00:00:00,PREVENTIVE,2125.8,OIL_PRESSURE,21.5,MEDIUM
MNT00057,EQX0072,2025-09-06T00:00:00,REPAIR,4924.1,TEMP_HIGH,21.0,LOW
MNT00058,EQX0064,2025-03-03T00:00:00,PREVENTIVE,295.8,TEMP_HIGH,14.3,MEDIUM
MNT00059,EQX0025,2026-05-15T00:00:00,PREVENTIVE,2685.3,OIL_PRESSURE,22.9,MEDIUM
MNT00060,EQX0091,2026-04-10T00:00:00,REPAIR,1324.2,NONE,27.5,LOW
MNT00061,EQX0118,2026-01-08T00:00:00,INSPECTION,7318.0,TEMP_HIGH,23.5,LOW
MNT00062,EQX0009,2025-10-12T00:00:00,INSPECTION,1398.6,OIL_PRESSURE,28.6,HIGH
MNT00063,EQX0083,2025-04-15T00:00:00,PREVENTIVE,3565.0,NONE,22.5,LOW
MNT00064,EQX0003,2026-04-17T00:00:00,PREVENTIVE,2147.3,BATTERY_LOW,20.0,MEDIUM
MNT00065,EQX0046,2025-09-29T00:00:00,PREVENTIVE,6966.6,NONE,11.0,LOW
MNT00066,EQX0020,2026-02-11T00:00:00,REPAIR,3345.2,OIL_PRESSURE,2.1,MEDIUM
MNT00067,EQX0048,2025-04-11T00:00:00,PREVENTIVE,4934.9,BATTERY_LOW,6.2,LOW
MNT00068,EQX0052,2025-06-30T00:00:00,REPAIR,2214.3,BATTERY_LOW,15.8,LOW
MNT00069,EQX0088,2025-02-21T00:00:00,REPAIR,2017.3,NONE,7.0,LOW
MNT00070,EQX0115,2025-02-06T00:00:00,REPAIR,2143.1,NONE,16.2,MEDIUM
MNT00071,EQX0029,2026-02-19T00:00:00,INSPECTION,3068.1,TEMP_HIGH,22.2,HIGH
MNT00072,EQX0035,2026-05-23T00:00:00,PREVENTIVE,1448.5,TEMP_HIGH,10.8,MEDIUM
MNT00073,EQX0091,2025-10-22T00:00:00,REPAIR,222.7,TEMP_HIGH,15.3,HIGH
MNT00074,EQX0080,2026-05-04T00:00:00,REPAIR,2428.9,TEMP_HIGH,5.5,HIGH
MNT00075,EQX0009,2025-06-20T00:00:00,PREVENTIVE,2624.7,BATTERY_LOW,4.7,LOW
MNT00076,EQX0086,2026-05-01T00:00:00,INSPECTION,2638.6,TEMP_HIGH,29.2,LOW
MNT00077,EQX0022,2025-01-10T00:00:00,REPAIR,2770.6,BATTERY_LOW,17.7,MEDIUM
MNT00078,EQX0112,2025-09-11T00:00:00,INSPECTION,998.5,NONE,17.2,MEDIUM
MNT00079,EQX0107,2025-08-22T00:00:00,REPAIR,3873.0,TEMP_HIGH,23.4,LOW
MNT00080,EQX0039,2025-12-10T00:00:00,INSPECTION,3781.8,OIL_PRESSURE,29.7,MEDIUM
MNT00081,EQX0085,2026-05-14T00:00:00,INSPECTION,2859.3,NONE,24.9,MEDIUM
MNT00082,EQX0091,2025-12-08T00:00:00,REPAIR,5854.0,BATTERY_LOW,3.8,HIGH
MNT00083,EQX0067,2025-01-22T00:00:00,PREVENTIVE,7344.1,TEMP_HIGH,20.0,LOW
MNT00084,EQX0046,2026-05-25T00:00:00,PREVENTIVE,1983.9,BATTERY_LOW,11.1,HIGH
MNT00085,EQX0012,2025-07-18T00:00:00,INSPECTION,4862.8,OIL_PRESSURE,26.4,HIGH
MNT00086,EQX0070,2026-04-06T00:00:00,REPAIR,1477.2,OIL_PRESSURE,26.7,MEDIUM
MNT00087,EQX0076,2026-03-04T00:00:00,INSPECTION,2458.1,NONE,17.6,HIGH
MNT00088,EQX0044,2025-05-06T00:00:00,INSPECTION,6005.9,OIL_PRESSURE,9.0,LOW
MNT00089,EQX0064,2025-05-31T00:00:00,INSPECTION,5170.7,OIL_PRESSURE,18.9,HIGH
MNT00090,EQX0021,2025-11-07T00:00:00,INSPECTION,2304.3,OIL_PRESSURE,1.0,LOW
MNT00091,EQX0028,2025-10-17T00:00:00,REPAIR,1101.1,BATTERY_LOW,9.5,MEDIUM
MNT00092,EQX0046,2025-01-01T00:00:00,PREVENTIVE,2035.5,OIL_PRESSURE,26.4,HIGH
MNT00093,EQX0086,2025-06-08T00:00:00,PREVENTIVE,5406.3,TEMP_HIGH,29.9,LOW
MNT00094,EQX0056,2025-03-24T00:00:00,INSPECTION,1797.7,BATTERY_LOW,28.0,LOW
MNT00095,EQX0104,2026-01-31T00:00:00,INSPECTION,3113.5,NONE,26.8,MEDIUM
MNT00096,EQX0077,2025-11-15T00:00:00,PREVENTIVE,4316.5,OIL_PRESSURE,24.2,LOW
MNT00097,EQX0088,2025-07-24T00:00:00,INSPECTION,1190.5,TEMP_HIGH,9.4,LOW
MNT00098,EQX0039,2026-04-18T00:00:00,REPAIR,1538.6,BATTERY_LOW,3.3,HIGH
MNT00099,EQX0057,2025-11-17T00:00:00,REPAIR,7024.6,OIL_PRESSURE,14.3,MEDIUM
MNT00100,EQX0060,2026-03-07T00:00:00,INSPECTION,3567.4,NONE,28.7,MEDIUM
MNT00101,EQX0012,2025-05-24T00:00:00,REPAIR,6820.0,TEMP_HIGH,17.6,MEDIUM
MNT00102,EQX0017,2026-07-11T00:00:00,REPAIR,6608.0,NONE,22.8,MEDIUM
MNT00103,EQX0017,2026-02-17T00:00:00,REPAIR,243.5,BATTERY_LOW,25.3,LOW
MNT00104,EQX0008,2025-10-04T00:00:00,REPAIR,981.5,NONE,24.7,HIGH
MNT00105,EQX0062,2025-12-06T00:00:00,PREVENTIVE,1086.5,NONE,21.2,HIGH
MNT00106,EQX0019,2026-05-23T00:00:00,PREVENTIVE,1831.9,TEMP_HIGH,9.4,MEDIUM
MNT00107,EQX0093,2025-01-07T00:00:00,INSPECTION,4752.7,TEMP_HIGH,3.9,LOW
MNT00108,EQX0020,2025-05-04T00:00:00,REPAIR,907.1,TEMP_HIGH,3.6,LOW
MNT00109,EQX0107,2026-06-02T00:00:00,INSPECTION,3052.2,NONE,9.3,MEDIUM
MNT00110,EQX0024,2025-08-29T00:00:00,REPAIR,2100.0,BATTERY_LOW,25.8,HIGH
MNT00111,EQX0016,2026-03-19T00:00:00,PREVENTIVE,4844.2,TEMP_HIGH,4.7,HIGH
MNT00112,EQX0085,2025-09-04T00:00:00,PREVENTIVE,3934.1,TEMP_HIGH,14.5,MEDIUM
MNT00113,EQX0038,2025-04-13T00:00:00,REPAIR,3798.6,OIL_PRESSURE,12.0,HIGH
MNT00114,EQX0103,2025-04-20T00:00:00,INSPECTION,3243.3,BATTERY_LOW,4.9,MEDIUM
MNT00115,EQX0059,2025-05-04T00:00:00,REPAIR,3042.8,OIL_PRESSURE,1.5,HIGH
MNT00116,EQX0115,2026-04-01T00:00:00,PREVENTIVE,6829.2,OIL_PRESSURE,28.9,MEDIUM
MNT00117,EQX0113,2026-04-15T00:00:00,INSPECTION,266.6,TEMP_HIGH,11.1,HIGH
MNT00118,EQX0027,2025-12-24T00:00:00,REPAIR,4032.9,NONE,5.6,LOW
MNT00119,EQX0046,2025-12-14T00:00:00,INSPECTION,5420.8,TEMP_HIGH,8.7,HIGH
MNT00120,EQX0039,2026-02-08T00:00:00,PREVENTIVE,6888.0,BATTERY_LOW,11.6,MEDIUM
MNT00121,EQX0078,2025-07-04T00:00:00,REPAIR,5372.1,OIL_PRESSURE,4.3,MEDIUM
MNT00122,EQX0076,2025-12-23T00:00:00,REPAIR,4707.6,BATTERY_LOW,2.5,LOW
MNT00123,EQX0110,2025-06-12T00:00:00,PREVENTIVE,904.7,NONE,15.2,HIGH
MNT00124,EQX0061,2025-11-28T00:00:00,PREVENTIVE,7363.7,TEMP_HIGH,3.6,LOW
MNT00125,EQX0094,2026-01-29T00:00:00,INSPECTION,6933.3,NONE,18.6,LOW
MNT00126,EQX0005,2025-03-16T00:00:00,INSPECTION,5772.5,NONE,27.7,MEDIUM
MNT00127,EQX0014,2026-04-06T00:00:00,INSPECTION,1172.5,TEMP_HIGH,6.3,MEDIUM
MNT00128,EQX0057,2025-10-20T00:00:00,PREVENTIVE,1668.7,TEMP_HIGH,13.3,HIGH
MNT00129,EQX0104,2025-07-16T00:00:00,PREVENTIVE,4449.4,NONE,6.5,LOW
MNT00130,EQX0115,2025-01-06T00:00:00,INSPECTION,5853.0,NONE,10.6,HIGH
MNT00131,EQX0094,2026-06-25T00:00:00,INSPECTION,1588.0,TEMP_HIGH,17.3,MEDIUM
MNT00132,EQX0065,2025-12-27T00:00:00,INSPECTION,4714.9,TEMP_HIGH,24.1,MEDIUM
MNT00133,EQX0055,2026-01-21T00:00:00,PREVENTIVE,4354.8,TEMP_HIGH,23.6,MEDIUM
MNT00134,EQX0013,2025-05-01T00:00:00,INSPECTION,1883.2,OIL_PRESSURE,1.2,MEDIUM
MNT00135,EQX0119,2025-09-15T00:00:00,INSPECTION,5333.9,NONE,26.2,LOW
MNT00136,EQX0037,2025-03-18T00:00:00,REPAIR,4400.1,OIL_PRESSURE,12.3,LOW
MNT00137,EQX0070,2025-04-24T00:00:00,REPAIR,3638.1,OIL_PRESSURE,19.8,LOW
MNT00138,EQX0044,2026-03-08T00:00:00,INSPECTION,1663.7,NONE,4.6,HIGH
MNT00139,EQX0105,2025-12-04T00:00:00,REPAIR,6859.9,NONE,7.5,LOW
MNT00140,EQX0104,2025-02-06T00:00:00,INSPECTION,7361.7,BATTERY_LOW,18.1,HIGH
MNT00141,EQX0119,2025-03-24T00:00:00,REPAIR,3695.0,TEMP_HIGH,8.5,LOW
MNT00142,EQX0014,2025-02-06T00:00:00,INSPECTION,3905.5,OIL_PRESSURE,13.2,MEDIUM
MNT00143,EQX0101,2025-08-22T00:00:00,PREVENTIVE,6998.1,NONE,23.3,LOW
MNT00144,EQX0069,2026-01-24T00:00:00,REPAIR,5190.2,NONE,16.8,LOW
MNT00145,EQX0050,2026-01-22T00:00:00,REPAIR,1114.2,BATTERY_LOW,16.7,LOW
MNT00146,EQX0057,2025-05-01T00:00:00,REPAIR,7372.5,OIL_PRESSURE,10.9,MEDIUM
MNT00147,EQX0056,2025-03-01T00:00:00,PREVENTIVE,1893.8,NONE,7.2,HIGH
MNT00148,EQX0097,2026-07-04T00:00:00,REPAIR,534.2,NONE,26.3,LOW
MNT00149,EQX0105,2025-02-28T00:00:00,PREVENTIVE,613.6,BATTERY_LOW,5.8,LOW
MNT00150,EQX0041,2025-12-25T00:00:00,REPAIR,4983.0,TEMP_HIGH,29.9,LOW
MNT00151,EQX0078,2026-02-12T00:00:00,INSPECTION,5000.4,NONE,2.8,HIGH
MNT00152,EQX0027,2026-05-22T00:00:00,REPAIR,5567.1,OIL_PRESSURE,27.0,LOW
MNT00153,EQX0057,2025-11-06T00:00:00,INSPECTION,5895.5,OIL_PRESSURE,26.1,LOW
MNT00154,EQX0068,2025-10-01T00:00:00,INSPECTION,5293.7,NONE,2.1,MEDIUM
MNT00155,EQX0091,2026-05-13T00:00:00,INSPECTION,772.7,TEMP_HIGH,25.3,HIGH
MNT00156,EQX0030,2025-11-09T00:00:00,REPAIR,4236.6,NONE,11.5,LOW
MNT00157,EQX0005,2025-08-29T00:00:00,REPAIR,3414.0,BATTERY_LOW,28.6,LOW
MNT00158,EQX0064,2025-02-04T00:00:00,INSPECTION,2229.2,BATTERY_LOW,9.4,LOW
MNT00159,EQX0008,2025-10-13T00:00:00,REPAIR,3002.7,NONE,26.0,MEDIUM
MNT00160,EQX0057,2025-02-15T00:00:00,PREVENTIVE,1701.8,TEMP_HIGH,20.0,HIGH
MNT00161,EQX0007,2025-11-09T00:00:00,PREVENTIVE,4153.3,OIL_PRESSURE,28.1,HIGH
MNT00162,EQX0097,2025-12-11T00:00:00,INSPECTION,6114.8,TEMP_HIGH,22.8,MEDIUM
MNT00163,EQX0093,2026-03-21T00:00:00,INSPECTION,5913.1,NONE,24.3,HIGH
MNT00164,EQX0050,2025-10-22T00:00:00,REPAIR,3583.6,OIL_PRESSURE,5.3,MEDIUM
MNT00165,EQX0060,2025-09-01T00:00:00,PREVENTIVE,6826.3,OIL_PRESSURE,24.1,MEDIUM
MNT00166,EQX0011,2025-09-13T00:00:00,REPAIR,2359.5,BATTERY_LOW,1.6,MEDIUM
MNT00167,EQX0047,2025-10-03T00:00:00,REPAIR,2028.7,NONE,4.2,HIGH
MNT00168,EQX0085,2025-11-25T00:00:00,INSPECTION,6387.4,BATTERY_LOW,14.2,MEDIUM
MNT00169,EQX0002,2026-04-23T00:00:00,PREVENTIVE,7251.0,BATTERY_LOW,19.3,HIGH
MNT00170,EQX0028,2026-02-23T00:00:00,PREVENTIVE,4430.9,NONE,8.7,HIGH
MNT00171,EQX0071,2025-11-18T00:00:00,PREVENTIVE,3415.2,OIL_PRESSURE,23.1,MEDIUM
MNT00172,EQX0034,2026-05-22T00:00:00,PREVENTIVE,1860.2,TEMP_HIGH,4.8,HIGH
MNT00173,EQX0084,2025-02-20T00:00:00,PREVENTIVE,1035.5,NONE,5.9,HIGH
MNT00174,EQX0111,2026-03-27T00:00:00,REPAIR,2516.5,TEMP_HIGH,2.3,HIGH
MNT00175,EQX0034,2025-09-21T00:00:00,PREVENTIVE,5152.2,OIL_PRESSURE,16.4,LOW
MNT00176,EQX0077,2025-08-29T00:00:00,INSPECTION,996.9,BATTERY_LOW,3.8,LOW
MNT00177,EQX0031,2025-07-28T00:00:00,INSPECTION,4363.7,BATTERY_LOW,2.6,MEDIUM
MNT00178,EQX0113,2025-10-17T00:00:00,PREVENTIVE,380.3,OIL_PRESSURE,10.4,MEDIUM
MNT00179,EQX0115,2026-01-19T00:00:00,INSPECTION,7080.1,OIL_PRESSURE,18.8,LOW
MNT00180,EQX0048,2025-02-15T00:00:00,INSPECTION,6991.3,NONE,3.6,LOW
MNT00181,EQX0104,2025-11-17T00:00:00,REPAIR,5425.1,OIL_PRESSURE,28.2,MEDIUM
MNT00182,EQX0107,2025-02-03T00:00:00,REPAIR,5501.7,BATTERY_LOW,23.0,HIGH
MNT00183,EQX0011,2025-03-21T00:00:00,PREVENTIVE,4327.4,BATTERY_LOW,16.4,LOW
MNT00184,EQX0109,2026-06-25T00:00:00,PREVENTIVE,4631.8,BATTERY_LOW,9.8,LOW
MNT00185,EQX0108,2025-10-28T00:00:00,PREVENTIVE,2599.4,OIL_PRESSURE,7.3,MEDIUM
MNT00186,EQX0096,2025-04-29T00:00:00,REPAIR,1959.6,BATTERY_LOW,11.2,MEDIUM
MNT00187,EQX0072,2026-06-02T00:00:00,PREVENTIVE,6876.8,BATTERY_LOW,18.4,MEDIUM
MNT00188,EQX0101,2026-03-05T00:00:00,PREVENTIVE,4356.2,TEMP_HIGH,27.8,LOW
MNT00189,EQX0100,2026-02-22T00:00:00,REPAIR,4468.7,TEMP_HIGH,18.4,MEDIUM
MNT00190,EQX0044,2025-11-18T00:00:00,PREVENTIVE,795.0,BATTERY_LOW,15.4,LOW
MNT00191,EQX0074,2026-05-22T00:00:00,REPAIR,6634.5,TEMP_HIGH,27.0,MEDIUM
MNT00192,EQX0002,2025-06-20T00:00:00,PREVENTIVE,3256.0,BATTERY_LOW,22.4,LOW
MNT00193,EQX0112,2025-02-04T00:00:00,INSPECTION,374.7,TEMP_HIGH,29.7,LOW
MNT00194,EQX0066,2026-06-27T00:00:00,INSPECTION,6801.1,OIL_PRESSURE,4.3,HIGH
MNT00195,EQX0072,2025-09-05T00:00:00,REPAIR,2341.8,OIL_PRESSURE,27.0,MEDIUM
MNT00196,EQX0076,2025-04-21T00:00:00,REPAIR,530.2,OIL_PRESSURE,28.5,MEDIUM
MNT00197,EQX0081,2026-04-06T00:00:00,REPAIR,6294.1,OIL_PRESSURE,22.9,HIGH
MNT00198,EQX0018,2025-07-07T00:00:00,REPAIR,5791.5,NONE,5.0,LOW
MNT00199,EQX0076,2026-01-14T00:00:00,REPAIR,4940.7,BATTERY_LOW,10.0,LOW
MNT00200,EQX0066,2025-10-14T00:00:00,PREVENTIVE,1895.5,BATTERY_LOW,10.6,HIGH
MNT00201,EQX0067,2026-06-22T00:00:00,REPAIR,3910.1,BATTERY_LOW,8.9,MEDIUM
MNT00202,EQX0041,2025-07-02T00:00:00,PREVENTIVE,506.1,TEMP_HIGH,13.2,MEDIUM
MNT00203,EQX0074,2025-11-18T00:00:00,PREVENTIVE,2735.6,TEMP_HIGH,4.0,MEDIUM
MNT00204,EQX0063,2026-03-26T00:00:00,PREVENTIVE,6663.0,OIL_PRESSURE,28.2,MEDIUM
MNT00205,EQX0078,2025-04-19T00:00:00,PREVENTIVE,5065.0,TEMP_HIGH,3.3,HIGH
MNT00206,EQX0108,2026-06-05T00:00:00,PREVENTIVE,399.7,NONE,28.8,HIGH
MNT00207,EQX0069,2025-07-19T00:00:00,PREVENTIVE,3765.1,NONE,11.4,MEDIUM
MNT00208,EQX0074,2026-03-13T00:00:00,REPAIR,3447.2,TEMP_HIGH,25.0,MEDIUM
MNT00209,EQX0118,2025-04-23T00:00:00,REPAIR,5356.2,NONE,13.6,MEDIUM
MNT00210,EQX0064,2025-09-27T00:00:00,PREVENTIVE,6510.9,OIL_PRESSURE,22.1,LOW
MNT00211,EQX0046,2025-03-22T00:00:00,REPAIR,5991.2,NONE,10.1,HIGH
MNT00212,EQX0043,2025-10-10T00:00:00,INSPECTION,4803.6,NONE,21.4,MEDIUM
MNT00213,EQX0115,2025-02-09T00:00:00,INSPECTION,933.2,OIL_PRESSURE,6.1,HIGH
MNT00214,EQX0085,2025-02-06T00:00:00,REPAIR,4779.2,TEMP_HIGH,4.5,MEDIUM
MNT00215,EQX0112,2025-08-14T00:00:00,REPAIR,1628.5,BATTERY_LOW,5.0,LOW
MNT00216,EQX0094,2026-05-24T00:00:00,INSPECTION,1162.1,NONE,28.5,HIGH
MNT00217,EQX0096,2025-08-08T00:00:00,PREVENTIVE,3370.5,BATTERY_LOW,17.0,LOW
MNT00218,EQX0091,2025-07-02T00:00:00,PREVENTIVE,3252.6,OIL_PRESSURE,18.6,HIGH
MNT00219,EQX0075,2025-08-29T00:00:00,REPAIR,2745.5,TEMP_HIGH,26.4,LOW
MNT00220,EQX0113,2025-10-27T00:00:00,REPAIR,3740.9,BATTERY_LOW,18.1,HIGH
MNT00221,EQX0062,2025-10-30T00:00:00,PREVENTIVE,1798.2,OIL_PRESSURE,12.9,MEDIUM
MNT00222,EQX0042,2025-09-11T00:00:00,REPAIR,3301.5,TEMP_HIGH,14.2,MEDIUM
MNT00223,EQX0085,2025-04-27T00:00:00,INSPECTION,5287.9,TEMP_HIGH,23.3,MEDIUM
MNT00224,EQX0108,2026-05-16T00:00:00,REPAIR,3207.6,TEMP_HIGH,1.4,MEDIUM
MNT00225,EQX0065,2025-08-09T00:00:00,INSPECTION,643.9,OIL_PRESSURE,8.2,MEDIUM
MNT00226,EQX0053,2026-02-05T00:00:00,INSPECTION,3304.0,OIL_PRESSURE,27.4,MEDIUM
MNT00227,EQX0063,2025-08-13T00:00:00,INSPECTION,4844.7,NONE,9.6,MEDIUM
MNT00228,EQX0029,2025-06-20T00:00:00,REPAIR,1705.3,NONE,28.5,HIGH
MNT00229,EQX0079,2025-12-04T00:00:00,PREVENTIVE,4616.2,NONE,28.5,LOW
MNT00230,EQX0103,2026-01-24T00:00:00,PREVENTIVE,5897.2,OIL_PRESSURE,27.4,HIGH
MNT00231,EQX0009,2025-02-20T00:00:00,REPAIR,1736.4,TEMP_HIGH,29.6,HIGH
MNT00232,EQX0051,2025-08-23T00:00:00,INSPECTION,6049.4,OIL_PRESSURE,10.3,LOW
MNT00233,EQX0071,2025-09-12T00:00:00,PREVENTIVE,463.3,NONE,22.8,HIGH
MNT00234,EQX0014,2026-05-29T00:00:00,INSPECTION,5976.8,NONE,5.1,MEDIUM
MNT00235,EQX0004,2025-08-24T00:00:00,REPAIR,5838.6,TEMP_HIGH,1.5,HIGH
MNT00236,EQX0016,2026-01-22T00:00:00,REPAIR,3125.5,OIL_PRESSURE,25.9,LOW
MNT00237,EQX0010,2026-06-01T00:00:00,REPAIR,5335.5,BATTERY_LOW,1.1,HIGH
MNT00238,EQX0107,2026-07-09T00:00:00,REPAIR,6908.5,NONE,22.2,MEDIUM
MNT00239,EQX0025,2025-11-16T00:00:00,INSPECTION,3303.6,NONE,9.4,MEDIUM
MNT00240,EQX0026,2025-04-13T00:00:00,INSPECTION,7275.6,BATTERY_LOW,11.6,MEDIUM
MNT00241,EQX0012,2025-08-16T00:00:00,INSPECTION,4295.3,BATTERY_LOW,8.9,HIGH
MNT00242,EQX0069,2026-06-03T00:00:00,PREVENTIVE,2991.6,BATTERY_LOW,22.0,MEDIUM
MNT00243,EQX0098,2026-07-14T00:00:00,REPAIR,990.6,TEMP_HIGH,17.5,LOW
MNT00244,EQX0051,2025-08-26T00:00:00,INSPECTION,2899.7,NONE,19.5,MEDIUM
MNT00245,EQX0019,2025-03-27T00:00:00,PREVENTIVE,4294.5,TEMP_HIGH,26.0,MEDIUM
MNT00246,EQX0076,2025-09-13T00:00:00,PREVENTIVE,1231.7,BATTERY_LOW,15.9,HIGH
MNT00247,EQX0098,2025-08-27T00:00:00,PREVENTIVE,5802.1,OIL_PRESSURE,12.6,HIGH
MNT00248,EQX0044,2025-06-04T00:00:00,PREVENTIVE,2546.5,BATTERY_LOW,26.2,MEDIUM
MNT00249,EQX0089,2025-08-03T00:00:00,REPAIR,6001.3,BATTERY_LOW,9.7,HIGH
MNT00250,EQX0031,2025-11-26T00:00:00,INSPECTION,5374.7,NONE,27.7,MEDIUM
MNT00251,EQX0090,2025-03-21T00:00:00,INSPECTION,1129.2,NONE,5.3,HIGH
