asset_id,model_id,serial_number,manufacture_year,acquisition_type,current_status,current_site,current_operator,total_engine_hours
EQX0091,MOD004,SYN-950-00091,2023,RENTAL,ACTIVE,SITE012,OP017,1424.9
EQX0092,MOD004,SYN-950-00092,2026,RENTAL,IDLE,SITE012,OP032,1036.1
EQX0093,MOD003,SYN-262D3-00093,2023,RENTAL,MAINTENANCE,SITE003,OP033,989.1
EQX0094,MOD009,SYN-CB13-00094,2026,RENTAL,ACTIVE,SITE005,OP037,6828.6
EQX0095,MOD001,SYN-320-00095,2021,RENTAL,ACTIVE,SITE012,OP013,4522.3
EQX0096,MOD005,SYN-D6-00096,2022,RENTAL,MAINTENANCE,SITE006,OP036,943.9
EQX0097,MOD005,SYN-D6-00097,2026,RENTAL,MAINTENANCE,SITE007,OP037,4583.0
EQX0098,MOD007,SYN-725-00098,2021,RENTAL,ACTIVE,SITE010,OP051,2734.6
EQX0099,MOD009,SYN-CB13-00099,2025,RENTAL,ACTIVE,SITE006,OP005,4927.1
EQX0100,MOD002,SYN-320GC-00100,2024,RENTAL,ACTIVE,SITE007,OP053,970.4
EQX0101,MOD005,SYN-D6-00101,2026,RENTAL,AVAILABLE,SITE011,OP041,6708.5
EQX0102,MOD010,SYN-420-00102,2022,RENTAL,ACTIVE,SITE003,OP028,5556.7
EQX0103,MOD007,SYN-725-00103,2023,RENTAL,AVAILABLE,SITE013,OP043,4696.2
EQX0104,MOD006,SYN-120-00104,2024,RENTAL,AVAILABLE,SITE014,OP044,3593.6
EQX0105,MOD006,SYN-120-00105,2025,RENTAL,MAINTENANCE,SITE015,OP045,2159.3
EQX0106,MOD006,SYN-120-00106,2021,RENTAL,AVAILABLE,SITE001,OP046,2236.2
EQX0107,MOD004,SYN-950-00107,2025,RENTAL,ACTIVE,SITE013,OP030,4655.4
EQX0108,MOD003,SYN-262D3-00108,2023,RENTAL,ACTIVE,SITE001,OP032,1527.4
EQX0109,MOD003,SYN-262D3-00109,2023,RENTAL,ACTIVE,SITE013,OP017,2241.5
EQX0110,MOD005,SYN-D6-00110,2023,RENTAL,IDLE,SITE015,OP050,4257.3
EQX0111,MOD010,SYN-420-00111,2022,RENTAL,ACTIVE,SITE004,OP006,5456.5
EQX0112,MOD008,SYN-TH255C-00112,2026,RENTAL,ACTIVE,SITE013,OP016,3675.5
EQX0113,MOD008,SYN-TH255C-00113,2021,RENTAL,IDLE,SITE008,OP053,879.3
EQX0114,MOD006,SYN-120-00114,2023,RENTAL,ACTIVE,SITE012,OP016,5046.9
EQX0115,MOD006,SYN-120-00115,2023,RENTAL,ACTIVE,SITE009,OP034,3306.2
EQX0116,MOD002,SYN-320GC-00116,2023,RENTAL,IDLE,SITE006,OP056,5330.8
EQX0117,MOD005,SYN-D6-00117,2021,RENTAL,ACTIVE,SITE005,OP015,5465.4
EQX0118,MOD002,SYN-320GC-00118,2026,RENTAL,ACTIVE,SITE012,OP035,1551.6
EQX0119,MOD001,SYN-320-00119,2026,RENTAL,ACTIVE,SITE008,OP018,4504.0
EQX0120,MOD002,SYN-320GC-00120,2025,RENTAL,MAINTENANCE,SITE015,OP060,2265.9
